Scenario Number,Normal,Fault,Attack presence,Attack type,Attack location,AGC,PSS,Attack start time (sec),Attack duration (sec),Attack end time (sec),Attack amplitude (%),Most affected buses (1-norm),Most affected buses (2-norm),Most affected buses (Infty-norm),Max impact locations (1-norm),Max impact locations (2-norm),Max impact locations (Infty-norm),Fault location,Fault type
883,0,0,1,Step,17   2  47,1,1,15,5,20,,no fault,45  47  38  17   2,45  47  38  52  31,1.5007,0.080401,0.009975,,
884,0,0,1,Step,17   2  47,1,1,15,5,20,,no fault,45  47  38  31  17,45  47  38  52  31,2.8933,0.1618,0.020707,,
885,0,0,1,Step,17   2  47,1,1,15,5,20,,no fault,45  47  38  31  17,45  47  38  31  52,6.0029,0.34799,0.044773,,
886,0,0,1,Step,11  25  41,1,1,15,5,20,,no fault,45  47  38  41  25,45  47  38  52  31,1.467,0.080401,0.0099751,,
887,0,0,1,Step,11  25  41,1,1,15,5,20,,no fault,45  47  38  41  31,45  47  38  52  31,2.7578,0.16181,0.020707,,
888,0,0,1,Step,11  25  41,1,1,15,5,20,,no fault,45  47  38  31  25,45  47  38  31  52,5.6721,0.348,0.044774,,
889,0,0,1,Step,38  36  17,1,1,15,5,20,,no fault,45  47  38  36  52,45  47  52  38  31,1.2573,0.062617,0.0064156,,
890,0,0,1,Step,38  36  17,1,1,15,5,20,,no fault,45  47  38  36  52,45  47  52  38  31,2.2614,0.11995,0.012991,,
891,0,0,1,Step,38  36  17,1,1,15,5,20,,no fault,45  47  38  36  52,45  47  52  31  38,4.3154,0.24112,0.026647,,
892,0,0,1,Step,25  19  52,1,1,15,5,20,,no fault,45  47  38  52  19,45  47  38  31  52,1.467,0.080401,0.0099751,,
893,0,0,1,Step,25  19  52,1,1,15,5,20,,no fault,45  47  38  52  19,45  47  38  31  36,2.7577,0.1618,0.020707,,
894,0,0,1,Step,25  19  52,1,1,15,5,20,,no fault,45  47  38  52  31,45  47  38  31  36,5.6719,0.34799,0.044773,,
895,0,0,1,Step,37  14  29,1,1,15,5,20,,no fault,45  47  38  29  31,45  47  38  52  31,1.467,0.080401,0.009975,,
896,0,0,1,Step,37  14  29,1,1,15,5,20,,no fault,45  47  38  31  29,45  47  38  52  31,2.7577,0.1618,0.020707,,
897,0,0,1,Step,37  14  29,1,1,15,5,20,,no fault,45  47  38  31  29,45  47  38  31  52,5.6718,0.34798,0.044772,,
898,0,0,1,Step,42  10  14,1,1,15,5,20,,no fault,45  47  38  42  31,45  47  38  52  31,1.467,0.080402,0.0099751,,
899,0,0,1,Step,42  10  14,1,1,15,5,20,,no fault,45  47  38  42  31,45  47  38  52  31,2.7578,0.16181,0.020707,,
900,0,0,1,Step,42  10  14,1,1,15,5,20,,no fault,45  47  38  31  42,45  47  38  31  52,5.6721,0.348,0.044774,,
901,0,0,1,Step,11  47  19,1,1,15,5,20,,no fault,45  47  38  19  31,45  47  38  52  31,1.5007,0.080401,0.009975,,
902,0,0,1,Step,11  47  19,1,1,15,5,20,,no fault,45  47  38  19  31,45  47  38  52  31,2.8933,0.1618,0.020707,,
903,0,0,1,Step,11  47  19,1,1,15,5,20,,no fault,45  47  38  31  19,45  47  38  31  52,6.0027,0.34798,0.044772,,
904,0,0,1,Step,42  19  31,1,1,15,5,20,,no fault,45  47  31  42  38,45  47  38  42  52,1.2573,0.062617,0.0064157,,
905,0,0,1,Step,42  19  31,1,1,15,5,20,,no fault,45  47  31  42  38,45  47  38  42  52,2.2614,0.11995,0.012991,,
906,0,0,1,Step,42  19  31,1,1,15,5,20,,no fault,45  47  31  42  38,45  47  38  52  42,4.3155,0.24113,0.026648,,
907,0,0,1,Step,31  22  38,1,1,15,5,20,,no fault,45  47  38  31  22,45  47  52  38  36,1.2573,0.062617,0.0064156,,
908,0,0,1,Step,31  22  38,1,1,15,5,20,,no fault,45  47  38  31  52,45  47  52  38  36,2.2614,0.11995,0.012991,,
909,0,0,1,Step,31  22  38,1,1,15,5,20,,no fault,45  47  38  31  52,45  47  52  38  36,4.3154,0.24112,0.026647,,
910,0,0,1,Step,47  41   7,1,1,15,5,20,,no fault,47  45  41  38  52,45  47  38  41  52,1.3479,0.063458,0.0064157,,
911,0,0,1,Step,47  41   7,1,1,15,5,20,,no fault,47  45  41  38  52,45  47  38  41  52,2.4965,0.12467,0.012991,,
912,0,0,1,Step,47  41   7,1,1,15,5,20,,no fault,47  45  41  38  52,45  47  38  41  52,4.8108,0.25081,0.026648,,
913,0,0,1,Step,41  10  19,1,1,15,5,20,,no fault,45  47  38  19  41,45  47  38  52  31,1.467,0.080401,0.0099751,,
914,0,0,1,Step,41  10  19,1,1,15,5,20,,no fault,45  47  38  19  41,45  47  38  52  31,2.7577,0.1618,0.020707,,
915,0,0,1,Step,41  10  19,1,1,15,5,20,,no fault,45  47  38  31  19,45  47  38  31  52,5.6719,0.34799,0.044774,,
916,0,0,1,Step,36  14  32,1,1,15,5,20,,no fault,45  47  36  32  38,45  47  38  52  31,1.2573,0.062617,0.0064156,,
917,0,0,1,Step,36  14  32,1,1,15,5,20,,no fault,45  47  36  32  38,45  47  38  52  31,2.2614,0.11995,0.012991,,
918,0,0,1,Step,36  14  32,1,1,15,5,20,,no fault,45  47  36  32  38,45  47  38  52  31,4.3155,0.24112,0.026647,,
919,0,0,1,Step,6  47  14,1,1,15,5,20,,no fault,45  47  38  31  14,45  47  38  52  31,1.5007,0.080401,0.0099751,,
920,0,0,1,Step,6  47  14,1,1,15,5,20,,no fault,45  47  38  31  52,45  47  38  52  31,2.8933,0.1618,0.020707,,
921,0,0,1,Step,6  47  14,1,1,15,5,20,,no fault,45  47  38  31  52,45  47  38  31  52,6.003,0.34799,0.044773,,
922,0,0,1,Step,52   6  23,1,1,15,5,20,,no fault,45  47  38  52  23,45  47  38  31  52,1.467,0.080401,0.0099751,,
923,0,0,1,Step,52   6  23,1,1,15,5,20,,no fault,45  47  38  52  23,45  47  38  31  36,2.7577,0.16181,0.020707,,
924,0,0,1,Step,52   6  23,1,1,15,5,20,,no fault,45  47  38  52  31,45  47  38  31  36,5.672,0.34799,0.044774,,
925,0,0,1,Step,41   6  45,1,1,15,5,20,,no fault,45  47  41  38  52,47  45  38  41  52,1.4752,0.068265,0.0061211,,
926,0,0,1,Step,41   6  45,1,1,15,5,20,,no fault,45  47  41  38  52,47  45  38  41  52,2.6983,0.13184,0.012452,,
927,0,0,1,Step,41   6  45,1,1,15,5,20,,no fault,45  47  41  38  52,47  45  38  41  52,5.1923,0.26555,0.025759,,
928,0,0,1,Step,47  23  11,1,1,15,5,20,,no fault,45  47  38  23  31,45  47  38  52  31,1.5007,0.080401,0.009975,,
929,0,0,1,Step,47  23  11,1,1,15,5,20,,no fault,45  47  38  23  31,45  47  38  52  31,2.8933,0.1618,0.020707,,
930,0,0,1,Step,47  23  11,1,1,15,5,20,,no fault,45  47  38  31  23,45  47  38  31  52,6.0027,0.34798,0.044772,,
931,0,0,1,Step,45  31  10,1,1,15,5,20,,no fault,45  47  31  38  52,47  45  38  52  36,1.4752,0.068264,0.0061211,,
